-62,-1218,31
-187,-968,-187
-187,-812,-250
-125,-625,-125
-187,-375,-312
-500,-875,-343
-312,-1312,-312
-125,-1312,0
-125,-1281,-31
-375,-1187,0
-281,-1093,-62
-187,-937,0
-156,-531,-62
187,-593,-406
31,-812,-93
62,-1500,62
-218,-1406,0
-125,-1406,31
0,-1218,93
-125,-1031,-31
-156,-875,-218
-125,-750,-156
-93,-531,-156
-343,-687,-375
-406,-1125,-375
-125,-1312,-62
0,-1218,-125
-125,-1343,125
-281,-1093,-31
-218,-1000,-62
-93,-843,-93
-187,-750,-125
-218,-500,-31
218,-687,-437
-62,-1093,125
-62,-1375,0
-156,-1312,-31
-93,-1218,62
-156,-1000,-93
-93,-812,-281
-125,-718,-187
-187,-531,-218
-375,-781,-343
-281,-1312,-343
-62,-1250,-125
-93,-1218,-62
-312,-1250,31
-312,-1093,-31
-156,-1031,-31
-125,-968,-62
-250,-906,-31
-187,-562,-31
218,-562,-437
-62,-1031,-62
-31,-1437,93
-187,-1343,31
-156,-1250,62
-31,-1125,0
-93,-1062,-31
-93,-843,-218
-125,-781,-156
-218,-687,-281
-312,-1250,-281
-125,-1156,-93
-31,-1156,-93
-125,-1281,31
-312,-1125,-31
-187,-1000,-62
-187,-968,-62
-218,-843,-93
-156,-500,-62
218,-656,-500
-125,-1125,62
-93,-1375,-31
-187,-1281,-93
-62,-1312,62
0,-1187,62
-93,-1031,-62
-125,-906,-250
-31,-812,-156
-156,-593,-187
-437,-750,-375
-312,-1312,-375
-93,-1218,-187
-93,-1187,62
-125,-1218,-31
-281,-1031,-31
-125,-968,-93
-187,-781,-93
-125,-593,-125
156,-718,-406
-93,-1375,-125
-156,-1343,-31
-250,-1312,-62
-31,-1281,0
-125,-1156,0
-187,-1000,-125
-125,-812,-156
-31,-656,-187
-156,-531,-406
-312,-1125,-437
-250,-1375,-125
-62,-1125,-187
-31,-1187,0
-187,-1156,-31
-281,-1031,-93
-187,-906,-156
-218,-906,-125
-250,-687,-31
93,-718,-406
31,-906,-93
-62,-1375,62
-125,-1312,62
0,-1156,31
-156,-1031,-31
-62,-843,-218
-125,-750,-156
-156,-593,-93
-406,-750,-437
-375,-1218,-375
-218,-1281,-218
-156,-1218,-93
-218,-1187,0
-312,-1000,-62
-250,-1031,-62
-187,-906,-62
-218,-812,-125
-187,-562,0
156,-687,-437
